,time [s]
method=[informed_check]_edge=[0-1]_changed=[Room1],-1.0
method=[informed_check]_edge=[0-3]_changed=[Room1],15.824888
method=[informed_check]_edge=[1-2]_changed=[Room1],-1.0
method=[informed_check]_edge=[2-5]_changed=[Room1],11.65899
method=[informed_check]_edge=[3-4]_changed=[Room1],12.645879
method=[informed_check]_edge=[4-5]_changed=[Room1],12.498403
method=[informed_check]_edge=[4-7]_changed=[Room1],12.919092
method=[informed_check]_edge=[5-8]_changed=[Room1],12.914798
method=[informed_check]_edge=[7-8]_changed=[Room1],12.648106
method=[informed_check]_edge=[0-1]_changed=[Room2],12.607017
method=[informed_check]_edge=[0-3]_changed=[Room2],6.793831
method=[informed_check]_edge=[1-2]_changed=[Room2],-1.0
method=[informed_check]_edge=[2-5]_changed=[Room2],-1.0
method=[informed_check]_edge=[3-4]_changed=[Room2],6.857014
method=[informed_check]_edge=[4-5]_changed=[Room2],9.936646
method=[informed_check]_edge=[4-7]_changed=[Room2],7.649217
method=[informed_check]_edge=[5-8]_changed=[Room2],14.631628
method=[informed_check]_edge=[7-8]_changed=[Room2],8.596989
method=[informed_check]_edge=[0-1]_changed=[Room3],10.144771
method=[informed_check]_edge=[0-3]_changed=[Room3],-1.0
method=[informed_check]_edge=[1-2]_changed=[Room3],19.155098
method=[informed_check]_edge=[2-5]_changed=[Room3],7.072369
method=[informed_check]_edge=[3-4]_changed=[Room3],-1.0
method=[informed_check]_edge=[4-5]_changed=[Room3],10.078316
method=[informed_check]_edge=[4-7]_changed=[Room3],7.650331
method=[informed_check]_edge=[5-8]_changed=[Room3],7.677039
method=[informed_check]_edge=[7-8]_changed=[Room3],8.626707
method=[informed_check]_edge=[0-1]_changed=[Room4],7.479894
method=[informed_check]_edge=[0-3]_changed=[Room4],6.812297
method=[informed_check]_edge=[1-2]_changed=[Room4],13.230994
method=[informed_check]_edge=[2-5]_changed=[Room4],7.006926
method=[informed_check]_edge=[3-4]_changed=[Room4],-1.0
method=[informed_check]_edge=[4-5]_changed=[Room4],-1.0
method=[informed_check]_edge=[4-7]_changed=[Room4],-1.0
method=[informed_check]_edge=[5-8]_changed=[Room4],7.66647
method=[informed_check]_edge=[7-8]_changed=[Room4],8.975628
method=[informed_check]_edge=[0-1]_changed=[Room5],7.504936
method=[informed_check]_edge=[0-3]_changed=[Room5],6.807708
method=[informed_check]_edge=[1-2]_changed=[Room5],13.256645
method=[informed_check]_edge=[2-5]_changed=[Room5],-1.0
method=[informed_check]_edge=[3-4]_changed=[Room5],9.17729
method=[informed_check]_edge=[4-5]_changed=[Room5],-1.0
method=[informed_check]_edge=[4-7]_changed=[Room5],7.755209
method=[informed_check]_edge=[5-8]_changed=[Room5],-1.0
method=[informed_check]_edge=[7-8]_changed=[Room5],13.697538
method=[informed_check]_edge=[0-1]_changed=[Room6],7.44472
method=[informed_check]_edge=[0-3]_changed=[Room6],7.260939
method=[informed_check]_edge=[1-2]_changed=[Room6],13.202148
method=[informed_check]_edge=[2-5]_changed=[Room6],6.992556
method=[informed_check]_edge=[3-4]_changed=[Room6],6.872914
method=[informed_check]_edge=[4-5]_changed=[Room6],7.366924
method=[informed_check]_edge=[4-7]_changed=[Room6],7.664001
method=[informed_check]_edge=[5-8]_changed=[Room6],7.678024
method=[informed_check]_edge=[7-8]_changed=[Room6],13.161733
method=[informed_check]_edge=[0-1]_changed=[Room7],7.206188
method=[informed_check]_edge=[0-3]_changed=[Room7],6.815955
method=[informed_check]_edge=[1-2]_changed=[Room7],13.175161
method=[informed_check]_edge=[2-5]_changed=[Room7],7.003322
method=[informed_check]_edge=[3-4]_changed=[Room7],6.863603
method=[informed_check]_edge=[4-5]_changed=[Room7],7.370535
method=[informed_check]_edge=[4-7]_changed=[Room7],-1.0
method=[informed_check]_edge=[5-8]_changed=[Room7],14.892215
method=[informed_check]_edge=[7-8]_changed=[Room7],-1.0
