,time [s]
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room1],-1.0
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room1],239.8328
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room1],-1.0
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room1],746.86896
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room1],867.2541
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room1],1008.13257
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room1],1027.218
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room1],976.63873
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room1],965.89813
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room2],874.2043
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room2],964.177
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room2],-1.0
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room2],-1.0
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room2],848.8286
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room2],890.5689
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room2],1022.0427
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room2],986.20825
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room2],992.9915
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room3],816.353
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room3],-1.0
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room3],973.8447
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room3],206.1106
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room3],-1.0
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room3],976.09827
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room3],1024.3907
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room3],1079.3984
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room3],1023.7634
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room4],783.7468
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room4],908.19147
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room4],955.26886
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room4],811.9358
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room4],-1.0
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room4],-1.0
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room4],-1.0
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room4],969.0774
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room4],1075.9923
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room5],766.6968
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room5],875.9023
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room5],1063.3086
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room5],-1.0
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room5],873.3383
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room5],-1.0
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room5],1000.79083
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room5],-1.0
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room5],994.041
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room6],896.9524
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room6],925.6083
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room6],1039.7554
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room6],254.6497
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room6],918.3577
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room6],1001.0218
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room6],1101.7852
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room6],1134.1333
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room6],1086.063
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room7],838.7952
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room7],953.2135
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room7],1171.3102
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room7],1025.3593
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room7],1039.2731
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room7],1180.7129
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room7],-1.0
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room7],1094.9911
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room7],-1.0
