,time [s]
method=[informed_check]_edge=[0-1]_changed=[Room1],-1.0
method=[informed_check]_edge=[0-3]_changed=[Room1],13.750427
method=[informed_check]_edge=[1-2]_changed=[Room1],-1.0
method=[informed_check]_edge=[2-5]_changed=[Room1],14.985563
method=[informed_check]_edge=[3-4]_changed=[Room1],13.460928
method=[informed_check]_edge=[4-5]_changed=[Room1],11.503859
method=[informed_check]_edge=[4-7]_changed=[Room1],12.433817
method=[informed_check]_edge=[5-8]_changed=[Room1],14.642061
method=[informed_check]_edge=[7-8]_changed=[Room1],11.842278
method=[informed_check]_edge=[0-1]_changed=[Room2],14.091344
method=[informed_check]_edge=[0-3]_changed=[Room2],6.268772
method=[informed_check]_edge=[1-2]_changed=[Room2],-1.0
method=[informed_check]_edge=[2-5]_changed=[Room2],-1.0
method=[informed_check]_edge=[3-4]_changed=[Room2],7.741593
method=[informed_check]_edge=[4-5]_changed=[Room2],9.953212
method=[informed_check]_edge=[4-7]_changed=[Room2],7.417069
method=[informed_check]_edge=[5-8]_changed=[Room2],13.704557
method=[informed_check]_edge=[7-8]_changed=[Room2],6.892146
method=[informed_check]_edge=[0-1]_changed=[Room3],10.178878
method=[informed_check]_edge=[0-3]_changed=[Room3],-1.0
method=[informed_check]_edge=[1-2]_changed=[Room3],11.553771
method=[informed_check]_edge=[2-5]_changed=[Room3],7.738954
method=[informed_check]_edge=[3-4]_changed=[Room3],-1.0
method=[informed_check]_edge=[4-5]_changed=[Room3],11.147382
method=[informed_check]_edge=[4-7]_changed=[Room3],7.209044
method=[informed_check]_edge=[5-8]_changed=[Room3],8.879349
method=[informed_check]_edge=[7-8]_changed=[Room3],6.890459
method=[informed_check]_edge=[0-1]_changed=[Room4],7.481288
method=[informed_check]_edge=[0-3]_changed=[Room4],6.1758
method=[informed_check]_edge=[1-2]_changed=[Room4],7.488063
method=[informed_check]_edge=[2-5]_changed=[Room4],7.459365
method=[informed_check]_edge=[3-4]_changed=[Room4],-1.0
method=[informed_check]_edge=[4-5]_changed=[Room4],-1.0
method=[informed_check]_edge=[4-7]_changed=[Room4],-1.0
method=[informed_check]_edge=[5-8]_changed=[Room4],8.858695
method=[informed_check]_edge=[7-8]_changed=[Room4],6.907615
method=[informed_check]_edge=[0-1]_changed=[Room5],7.434391
method=[informed_check]_edge=[0-3]_changed=[Room5],6.192927
method=[informed_check]_edge=[1-2]_changed=[Room5],7.153328
method=[informed_check]_edge=[2-5]_changed=[Room5],-1.0
method=[informed_check]_edge=[3-4]_changed=[Room5],9.599558
method=[informed_check]_edge=[4-5]_changed=[Room5],-1.0
method=[informed_check]_edge=[4-7]_changed=[Room5],7.236874
method=[informed_check]_edge=[5-8]_changed=[Room5],-1.0
method=[informed_check]_edge=[7-8]_changed=[Room5],11.909879
method=[informed_check]_edge=[0-1]_changed=[Room6],7.471388
method=[informed_check]_edge=[0-3]_changed=[Room6],6.191596
method=[informed_check]_edge=[1-2]_changed=[Room6],7.117342
method=[informed_check]_edge=[2-5]_changed=[Room6],7.458145
method=[informed_check]_edge=[3-4]_changed=[Room6],7.765682
method=[informed_check]_edge=[4-5]_changed=[Room6],6.898644
method=[informed_check]_edge=[4-7]_changed=[Room6],7.217077
method=[informed_check]_edge=[5-8]_changed=[Room6],9.018335
method=[informed_check]_edge=[7-8]_changed=[Room6],12.079093
method=[informed_check]_edge=[0-1]_changed=[Room7],7.748564
method=[informed_check]_edge=[0-3]_changed=[Room7],6.166387
method=[informed_check]_edge=[1-2]_changed=[Room7],7.144694
method=[informed_check]_edge=[2-5]_changed=[Room7],7.461694
method=[informed_check]_edge=[3-4]_changed=[Room7],7.810881
method=[informed_check]_edge=[4-5]_changed=[Room7],6.823287
method=[informed_check]_edge=[4-7]_changed=[Room7],-1.0
method=[informed_check]_edge=[5-8]_changed=[Room7],13.661678
method=[informed_check]_edge=[7-8]_changed=[Room7],-1.0
