,time [s]
method=[binary_search]_edge=[0-1]_changed=[Room1],-1.0
method=[binary_search]_edge=[0-3]_changed=[Room1],96.25621
method=[binary_search]_edge=[1-2]_changed=[Room1],-1.0
method=[binary_search]_edge=[2-5]_changed=[Room1],36.936768
method=[binary_search]_edge=[3-4]_changed=[Room1],36.11854
method=[binary_search]_edge=[4-5]_changed=[Room1],107.7199
method=[binary_search]_edge=[4-7]_changed=[Room1],104.10775
method=[binary_search]_edge=[5-8]_changed=[Room1],37.356113
method=[binary_search]_edge=[7-8]_changed=[Room1],192.98993
method=[binary_search]_edge=[0-1]_changed=[Room2],531.1086
method=[binary_search]_edge=[0-3]_changed=[Room2],88.165306
method=[binary_search]_edge=[1-2]_changed=[Room2],-1.0
method=[binary_search]_edge=[2-5]_changed=[Room2],-1.0
method=[binary_search]_edge=[3-4]_changed=[Room2],105.49311
method=[binary_search]_edge=[4-5]_changed=[Room2],122.513535
method=[binary_search]_edge=[4-7]_changed=[Room2],392.6607
method=[binary_search]_edge=[5-8]_changed=[Room2],34.798595
method=[binary_search]_edge=[7-8]_changed=[Room2],34.77265
method=[binary_search]_edge=[0-1]_changed=[Room3],200.01753
method=[binary_search]_edge=[0-3]_changed=[Room3],-1.0
method=[binary_search]_edge=[1-2]_changed=[Room3],86.31153
method=[binary_search]_edge=[2-5]_changed=[Room3],90.30024
method=[binary_search]_edge=[3-4]_changed=[Room3],-1.0
method=[binary_search]_edge=[4-5]_changed=[Room3],383.1839
method=[binary_search]_edge=[4-7]_changed=[Room3],161.0983
method=[binary_search]_edge=[5-8]_changed=[Room3],424.81903
method=[binary_search]_edge=[7-8]_changed=[Room3],101.80614
method=[binary_search]_edge=[0-1]_changed=[Room4],361.7528
method=[binary_search]_edge=[0-3]_changed=[Room4],84.88894
method=[binary_search]_edge=[1-2]_changed=[Room4],138.0716
method=[binary_search]_edge=[2-5]_changed=[Room4],120.57293
method=[binary_search]_edge=[3-4]_changed=[Room4],-1.0
method=[binary_search]_edge=[4-5]_changed=[Room4],-1.0
method=[binary_search]_edge=[4-7]_changed=[Room4],-1.0
method=[binary_search]_edge=[5-8]_changed=[Room4],75.55868
method=[binary_search]_edge=[7-8]_changed=[Room4],35.8986
method=[binary_search]_edge=[0-1]_changed=[Room5],104.30874
method=[binary_search]_edge=[0-3]_changed=[Room5],375.78134
method=[binary_search]_edge=[1-2]_changed=[Room5],140.60405
method=[binary_search]_edge=[2-5]_changed=[Room5],-1.0
method=[binary_search]_edge=[3-4]_changed=[Room5],384.70282
method=[binary_search]_edge=[4-5]_changed=[Room5],-1.0
method=[binary_search]_edge=[4-7]_changed=[Room5],34.868828
method=[binary_search]_edge=[5-8]_changed=[Room5],-1.0
method=[binary_search]_edge=[7-8]_changed=[Room5],842.6201
method=[binary_search]_edge=[0-1]_changed=[Room6],145.22778
method=[binary_search]_edge=[0-3]_changed=[Room6],348.2087
method=[binary_search]_edge=[1-2]_changed=[Room6],193.55911
method=[binary_search]_edge=[2-5]_changed=[Room6],37.150627
method=[binary_search]_edge=[3-4]_changed=[Room6],65.67993
method=[binary_search]_edge=[4-5]_changed=[Room6],181.59116
method=[binary_search]_edge=[4-7]_changed=[Room6],162.651
method=[binary_search]_edge=[5-8]_changed=[Room6],77.85394
method=[binary_search]_edge=[7-8]_changed=[Room6],72.16043
method=[binary_search]_edge=[0-1]_changed=[Room7],383.84573
method=[binary_search]_edge=[0-3]_changed=[Room7],173.62808
method=[binary_search]_edge=[1-2]_changed=[Room7],353.08615
method=[binary_search]_edge=[2-5]_changed=[Room7],36.063393
method=[binary_search]_edge=[3-4]_changed=[Room7],39.448086
method=[binary_search]_edge=[4-5]_changed=[Room7],200.893
method=[binary_search]_edge=[4-7]_changed=[Room7],-1.0
method=[binary_search]_edge=[5-8]_changed=[Room7],35.966034
method=[binary_search]_edge=[7-8]_changed=[Room7],-1.0
