,time [s]
method=[infimum]_edge=[0-1]_changed=[Room1],-1.0
method=[infimum]_edge=[0-3]_changed=[Room1],5.083936
method=[infimum]_edge=[1-2]_changed=[Room1],-1.0
method=[infimum]_edge=[2-5]_changed=[Room1],0.290603
method=[infimum]_edge=[3-4]_changed=[Room1],0.291524
method=[infimum]_edge=[4-5]_changed=[Room1],0.288517
method=[infimum]_edge=[4-7]_changed=[Room1],0.28804
method=[infimum]_edge=[5-8]_changed=[Room1],0.291736
method=[infimum]_edge=[7-8]_changed=[Room1],0.288737
method=[infimum]_edge=[0-1]_changed=[Room2],0.288733
method=[infimum]_edge=[0-3]_changed=[Room2],0.287762
method=[infimum]_edge=[1-2]_changed=[Room2],-1.0
method=[infimum]_edge=[2-5]_changed=[Room2],-1.0
method=[infimum]_edge=[3-4]_changed=[Room2],0.28793
method=[infimum]_edge=[4-5]_changed=[Room2],0.290481
method=[infimum]_edge=[4-7]_changed=[Room2],0.2884
method=[infimum]_edge=[5-8]_changed=[Room2],0.288417
method=[infimum]_edge=[7-8]_changed=[Room2],0.296821
method=[infimum]_edge=[0-1]_changed=[Room3],0.293231
method=[infimum]_edge=[0-3]_changed=[Room3],-1.0
method=[infimum]_edge=[1-2]_changed=[Room3],0.289471
method=[infimum]_edge=[2-5]_changed=[Room3],0.292995
method=[infimum]_edge=[3-4]_changed=[Room3],-1.0
method=[infimum]_edge=[4-5]_changed=[Room3],0.289337
method=[infimum]_edge=[4-7]_changed=[Room3],0.292125
method=[infimum]_edge=[5-8]_changed=[Room3],0.29022
method=[infimum]_edge=[7-8]_changed=[Room3],0.288976
method=[infimum]_edge=[0-1]_changed=[Room4],0.292032
method=[infimum]_edge=[0-3]_changed=[Room4],0.289277
method=[infimum]_edge=[1-2]_changed=[Room4],0.292095
method=[infimum]_edge=[2-5]_changed=[Room4],0.288913
method=[infimum]_edge=[3-4]_changed=[Room4],-1.0
method=[infimum]_edge=[4-5]_changed=[Room4],-1.0
method=[infimum]_edge=[4-7]_changed=[Room4],-1.0
method=[infimum]_edge=[5-8]_changed=[Room4],0.287246
method=[infimum]_edge=[7-8]_changed=[Room4],0.288726
method=[infimum]_edge=[0-1]_changed=[Room5],0.287
method=[infimum]_edge=[0-3]_changed=[Room5],0.291441
method=[infimum]_edge=[1-2]_changed=[Room5],0.28862
method=[infimum]_edge=[2-5]_changed=[Room5],-1.0
method=[infimum]_edge=[3-4]_changed=[Room5],0.288413
method=[infimum]_edge=[4-5]_changed=[Room5],-1.0
method=[infimum]_edge=[4-7]_changed=[Room5],0.287399
method=[infimum]_edge=[5-8]_changed=[Room5],-1.0
method=[infimum]_edge=[7-8]_changed=[Room5],0.289417
method=[infimum]_edge=[0-1]_changed=[Room6],0.291495
method=[infimum]_edge=[0-3]_changed=[Room6],0.286665
method=[infimum]_edge=[1-2]_changed=[Room6],0.288074
method=[infimum]_edge=[2-5]_changed=[Room6],0.289089
method=[infimum]_edge=[3-4]_changed=[Room6],0.288475
method=[infimum]_edge=[4-5]_changed=[Room6],0.289691
method=[infimum]_edge=[4-7]_changed=[Room6],0.290249
method=[infimum]_edge=[5-8]_changed=[Room6],0.289378
method=[infimum]_edge=[7-8]_changed=[Room6],0.289743
method=[infimum]_edge=[0-1]_changed=[Room7],0.290569
method=[infimum]_edge=[0-3]_changed=[Room7],0.289643
method=[infimum]_edge=[1-2]_changed=[Room7],0.28826
method=[infimum]_edge=[2-5]_changed=[Room7],0.288075
method=[infimum]_edge=[3-4]_changed=[Room7],0.288591
method=[infimum]_edge=[4-5]_changed=[Room7],0.289129
method=[infimum]_edge=[4-7]_changed=[Room7],-1.0
method=[infimum]_edge=[5-8]_changed=[Room7],0.291005
method=[infimum]_edge=[7-8]_changed=[Room7],-1.0
