,time [s]
method=[infimum]_edge=[0-1]_changed=[Room1],-1.0
method=[infimum]_edge=[0-3]_changed=[Room1],5.367813
method=[infimum]_edge=[1-2]_changed=[Room1],-1.0
method=[infimum]_edge=[2-5]_changed=[Room1],0.262755
method=[infimum]_edge=[3-4]_changed=[Room1],0.2571
method=[infimum]_edge=[4-5]_changed=[Room1],0.2567
method=[infimum]_edge=[4-7]_changed=[Room1],0.254338
method=[infimum]_edge=[5-8]_changed=[Room1],0.255387
method=[infimum]_edge=[7-8]_changed=[Room1],0.254167
method=[infimum]_edge=[0-1]_changed=[Room2],0.256973
method=[infimum]_edge=[0-3]_changed=[Room2],0.255973
method=[infimum]_edge=[1-2]_changed=[Room2],-1.0
method=[infimum]_edge=[2-5]_changed=[Room2],-1.0
method=[infimum]_edge=[3-4]_changed=[Room2],0.259639
method=[infimum]_edge=[4-5]_changed=[Room2],0.261338
method=[infimum]_edge=[4-7]_changed=[Room2],0.256542
method=[infimum]_edge=[5-8]_changed=[Room2],0.253335
method=[infimum]_edge=[7-8]_changed=[Room2],0.251214
method=[infimum]_edge=[0-1]_changed=[Room3],0.276321
method=[infimum]_edge=[0-3]_changed=[Room3],-1.0
method=[infimum]_edge=[1-2]_changed=[Room3],0.264942
method=[infimum]_edge=[2-5]_changed=[Room3],0.251967
method=[infimum]_edge=[3-4]_changed=[Room3],-1.0
method=[infimum]_edge=[4-5]_changed=[Room3],0.255234
method=[infimum]_edge=[4-7]_changed=[Room3],0.255915
method=[infimum]_edge=[5-8]_changed=[Room3],0.256667
method=[infimum]_edge=[7-8]_changed=[Room3],0.25281
method=[infimum]_edge=[0-1]_changed=[Room4],0.25493
method=[infimum]_edge=[0-3]_changed=[Room4],0.260467
method=[infimum]_edge=[1-2]_changed=[Room4],0.255845
method=[infimum]_edge=[2-5]_changed=[Room4],0.252895
method=[infimum]_edge=[3-4]_changed=[Room4],-1.0
method=[infimum]_edge=[4-5]_changed=[Room4],-1.0
method=[infimum]_edge=[4-7]_changed=[Room4],-1.0
method=[infimum]_edge=[5-8]_changed=[Room4],0.253937
method=[infimum]_edge=[7-8]_changed=[Room4],0.257341
method=[infimum]_edge=[0-1]_changed=[Room5],0.254878
method=[infimum]_edge=[0-3]_changed=[Room5],0.255374
method=[infimum]_edge=[1-2]_changed=[Room5],0.254834
method=[infimum]_edge=[2-5]_changed=[Room5],-1.0
method=[infimum]_edge=[3-4]_changed=[Room5],0.257941
method=[infimum]_edge=[4-5]_changed=[Room5],-1.0
method=[infimum]_edge=[4-7]_changed=[Room5],0.259351
method=[infimum]_edge=[5-8]_changed=[Room5],-1.0
method=[infimum]_edge=[7-8]_changed=[Room5],0.25939
method=[infimum]_edge=[0-1]_changed=[Room6],0.252565
method=[infimum]_edge=[0-3]_changed=[Room6],0.252216
method=[infimum]_edge=[1-2]_changed=[Room6],0.261092
method=[infimum]_edge=[2-5]_changed=[Room6],0.254673
method=[infimum]_edge=[3-4]_changed=[Room6],0.25228
method=[infimum]_edge=[4-5]_changed=[Room6],0.257207
method=[infimum]_edge=[4-7]_changed=[Room6],0.255174
method=[infimum]_edge=[5-8]_changed=[Room6],0.255128
method=[infimum]_edge=[7-8]_changed=[Room6],0.256303
method=[infimum]_edge=[0-1]_changed=[Room7],0.250606
method=[infimum]_edge=[0-3]_changed=[Room7],0.252472
method=[infimum]_edge=[1-2]_changed=[Room7],0.251508
method=[infimum]_edge=[2-5]_changed=[Room7],0.253643
method=[infimum]_edge=[3-4]_changed=[Room7],0.254573
method=[infimum]_edge=[4-5]_changed=[Room7],0.252674
method=[infimum]_edge=[4-7]_changed=[Room7],-1.0
method=[infimum]_edge=[5-8]_changed=[Room7],0.25611
method=[infimum]_edge=[7-8]_changed=[Room7],-1.0
