,time [s]
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room1],-1.0
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room1],875.842
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room1],-1.0
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room1],920.8369
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room1],948.21594
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room1],991.20825
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room1],1015.2672
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room1],976.05774
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room1],899.14026
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room2],738.79004
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room2],826.5201
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room2],-1.0
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room2],-1.0
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room2],893.1764
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room2],1006.371
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room2],231.43271
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room2],1046.6865
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room2],971.2723
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room3],746.09015
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room3],-1.0
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room3],983.48724
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room3],1033.607
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room3],-1.0
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room3],995.95636
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room3],1050.1927
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room3],982.68585
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room3],1104.7408
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room4],716.7219
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room4],964.0684
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room4],979.38245
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room4],955.70496
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room4],-1.0
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room4],-1.0
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room4],-1.0
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room4],1004.1727
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room4],1028.1403
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room5],208.93813
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room5],878.823
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room5],937.2713
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room5],-1.0
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room5],1017.44916
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room5],-1.0
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room5],1076.2366
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room5],-1.0
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room5],1076.425
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room6],238.44188
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room6],969.0438
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room6],223.51881
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room6],979.1787
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room6],896.66644
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room6],1044.5918
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room6],1125.3354
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room6],1105.4075
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room6],1099.9584
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room7],804.0797
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room7],916.16736
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room7],1094.9229
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room7],1015.1747
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room7],971.6773
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room7],1144.3546
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room7],-1.0
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room7],1098.0782
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room7],-1.0
