,info
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room1],0.0
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room1],0.820312
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room1],0.0
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room1],0.791016
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room1],0.792969
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room1],0.5625
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room1],0.494141
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room1],0.609375
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room1],0.609375
method=[binary_search_from_scratch]_edge=[global]_changed=[Room1],0.222968
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room2],0.820312
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room2],0.765625
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room2],0.0
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room2],0.0
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room2],0.792969
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room2],0.5625
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room2],0.71875
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room2],0.457031
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room2],0.609375
method=[binary_search_from_scratch]_edge=[global]_changed=[Room2],0.26591
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room3],0.765625
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room3],0.0
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room3],0.738281
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room3],0.685547
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room3],0.0
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room3],0.515625
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room3],0.628906
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room3],0.660156
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room3],0.609375
method=[binary_search_from_scratch]_edge=[global]_changed=[Room3],0.255813
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room4],0.820312
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room4],0.710938
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room4],0.685547
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room4],0.791016
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room4],0.0
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room4],0.0
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room4],0.0
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room4],0.558594
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room4],0.5625
method=[binary_search_from_scratch]_edge=[global]_changed=[Room4],0.248484
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room5],0.875
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room5],0.710938
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room5],0.738281
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room5],0.0
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room5],0.679688
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room5],0.0
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room5],0.494141
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room5],0.0
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room5],0.609375
method=[binary_search_from_scratch]_edge=[global]_changed=[Room5],0.145504
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room6],0.875
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room6],0.765625
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room6],0.84375
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room6],0.738281
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room6],0.736328
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room6],0.515625
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room6],0.539062
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room6],0.457031
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room6],0.515625
method=[binary_search_from_scratch]_edge=[global]_changed=[Room6],0.249109
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room7],0.765625
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room7],0.710938
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room7],0.632812
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room7],0.685547
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room7],0.849609
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room7],0.609375
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room7],0.0
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room7],0.457031
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room7],0.0
method=[binary_search_from_scratch]_edge=[global]_changed=[Room7],0.168221
