,info
method=[infimum]_edge=[0-1]_changed=[Room1],0.0
method=[infimum]_edge=[0-3]_changed=[Room1],0.90625
method=[infimum]_edge=[1-2]_changed=[Room1],0.0
method=[infimum]_edge=[2-5]_changed=[Room1],0.8125
method=[infimum]_edge=[3-4]_changed=[Room1],0.84375
method=[infimum]_edge=[4-5]_changed=[Room1],0.78125
method=[infimum]_edge=[4-7]_changed=[Room1],0.75
method=[infimum]_edge=[5-8]_changed=[Room1],0.53125
method=[infimum]_edge=[7-8]_changed=[Room1],0.6875
method=[infimum]_edge=[global]_changed=[Room1],0.394272
method=[infimum]_edge=[0-1]_changed=[Room2],0.511574
method=[infimum]_edge=[0-3]_changed=[Room2],0.90625
method=[infimum]_edge=[1-2]_changed=[Room2],0.0
method=[infimum]_edge=[2-5]_changed=[Room2],0.0
method=[infimum]_edge=[3-4]_changed=[Room2],0.84375
method=[infimum]_edge=[4-5]_changed=[Room2],0.588665
method=[infimum]_edge=[4-7]_changed=[Room2],0.75
method=[infimum]_edge=[5-8]_changed=[Room2],0.321433
method=[infimum]_edge=[7-8]_changed=[Room2],0.6875
method=[infimum]_edge=[global]_changed=[Room2],0.394272
method=[infimum]_edge=[0-1]_changed=[Room3],0.90625
method=[infimum]_edge=[0-3]_changed=[Room3],0.0
method=[infimum]_edge=[1-2]_changed=[Room3],0.875
method=[infimum]_edge=[2-5]_changed=[Room3],0.8125
method=[infimum]_edge=[3-4]_changed=[Room3],0.0
method=[infimum]_edge=[4-5]_changed=[Room3],0.59826
method=[infimum]_edge=[4-7]_changed=[Room3],0.75
method=[infimum]_edge=[5-8]_changed=[Room3],0.53125
method=[infimum]_edge=[7-8]_changed=[Room3],0.6875
method=[infimum]_edge=[global]_changed=[Room3],0.342278
method=[infimum]_edge=[0-1]_changed=[Room4],0.90625
method=[infimum]_edge=[0-3]_changed=[Room4],0.90625
method=[infimum]_edge=[1-2]_changed=[Room4],0.875
method=[infimum]_edge=[2-5]_changed=[Room4],0.8125
method=[infimum]_edge=[3-4]_changed=[Room4],0.0
method=[infimum]_edge=[4-5]_changed=[Room4],0.0
method=[infimum]_edge=[4-7]_changed=[Room4],0.0
method=[infimum]_edge=[5-8]_changed=[Room4],0.53125
method=[infimum]_edge=[7-8]_changed=[Room4],0.6875
method=[infimum]_edge=[global]_changed=[Room4],0.342278
method=[infimum]_edge=[0-1]_changed=[Room5],0.90625
method=[infimum]_edge=[0-3]_changed=[Room5],0.90625
method=[infimum]_edge=[1-2]_changed=[Room5],0.875
method=[infimum]_edge=[2-5]_changed=[Room5],0.0
method=[infimum]_edge=[3-4]_changed=[Room5],0.537217
method=[infimum]_edge=[4-5]_changed=[Room5],0.0
method=[infimum]_edge=[4-7]_changed=[Room5],0.75
method=[infimum]_edge=[5-8]_changed=[Room5],0.0
method=[infimum]_edge=[7-8]_changed=[Room5],0.408428
method=[infimum]_edge=[global]_changed=[Room5],0.149133
method=[infimum]_edge=[0-1]_changed=[Room6],0.90625
method=[infimum]_edge=[0-3]_changed=[Room6],0.90625
method=[infimum]_edge=[1-2]_changed=[Room6],0.875
method=[infimum]_edge=[2-5]_changed=[Room6],0.8125
method=[infimum]_edge=[3-4]_changed=[Room6],0.84375
method=[infimum]_edge=[4-5]_changed=[Room6],0.78125
method=[infimum]_edge=[4-7]_changed=[Room6],0.75
method=[infimum]_edge=[5-8]_changed=[Room6],0.53125
method=[infimum]_edge=[7-8]_changed=[Room6],0.400067
method=[infimum]_edge=[global]_changed=[Room6],0.342278
method=[infimum]_edge=[0-1]_changed=[Room7],0.90625
method=[infimum]_edge=[0-3]_changed=[Room7],0.90625
method=[infimum]_edge=[1-2]_changed=[Room7],0.875
method=[infimum]_edge=[2-5]_changed=[Room7],0.8125
method=[infimum]_edge=[3-4]_changed=[Room7],0.84375
method=[infimum]_edge=[4-5]_changed=[Room7],0.78125
method=[infimum]_edge=[4-7]_changed=[Room7],0.0
method=[infimum]_edge=[5-8]_changed=[Room7],0.302859
method=[infimum]_edge=[7-8]_changed=[Room7],0.0
method=[infimum]_edge=[global]_changed=[Room7],0.195128
