,time [s]
method=[infimum]_edge=[0-1]_changed=[Room1],-1.0
method=[infimum]_edge=[0-3]_changed=[Room1],5.468566
method=[infimum]_edge=[1-2]_changed=[Room1],-1.0
method=[infimum]_edge=[2-5]_changed=[Room1],0.307973
method=[infimum]_edge=[3-4]_changed=[Room1],0.30761
method=[infimum]_edge=[4-5]_changed=[Room1],0.308863
method=[infimum]_edge=[4-7]_changed=[Room1],0.30818
method=[infimum]_edge=[5-8]_changed=[Room1],0.302238
method=[infimum]_edge=[7-8]_changed=[Room1],0.308133
method=[infimum]_edge=[0-1]_changed=[Room2],0.302853
method=[infimum]_edge=[0-3]_changed=[Room2],0.299868
method=[infimum]_edge=[1-2]_changed=[Room2],-1.0
method=[infimum]_edge=[2-5]_changed=[Room2],-1.0
method=[infimum]_edge=[3-4]_changed=[Room2],0.30158
method=[infimum]_edge=[4-5]_changed=[Room2],0.312003
method=[infimum]_edge=[4-7]_changed=[Room2],0.300657
method=[infimum]_edge=[5-8]_changed=[Room2],0.299525
method=[infimum]_edge=[7-8]_changed=[Room2],0.329802
method=[infimum]_edge=[0-1]_changed=[Room3],0.306668
method=[infimum]_edge=[0-3]_changed=[Room3],-1.0
method=[infimum]_edge=[1-2]_changed=[Room3],0.300555
method=[infimum]_edge=[2-5]_changed=[Room3],0.299439
method=[infimum]_edge=[3-4]_changed=[Room3],-1.0
method=[infimum]_edge=[4-5]_changed=[Room3],0.298275
method=[infimum]_edge=[4-7]_changed=[Room3],0.299546
method=[infimum]_edge=[5-8]_changed=[Room3],0.299881
method=[infimum]_edge=[7-8]_changed=[Room3],0.29914
method=[infimum]_edge=[0-1]_changed=[Room4],0.297062
method=[infimum]_edge=[0-3]_changed=[Room4],0.303173
method=[infimum]_edge=[1-2]_changed=[Room4],0.301751
method=[infimum]_edge=[2-5]_changed=[Room4],0.300515
method=[infimum]_edge=[3-4]_changed=[Room4],-1.0
method=[infimum]_edge=[4-5]_changed=[Room4],-1.0
method=[infimum]_edge=[4-7]_changed=[Room4],-1.0
method=[infimum]_edge=[5-8]_changed=[Room4],0.300616
method=[infimum]_edge=[7-8]_changed=[Room4],0.300405
method=[infimum]_edge=[0-1]_changed=[Room5],0.302627
method=[infimum]_edge=[0-3]_changed=[Room5],0.299361
method=[infimum]_edge=[1-2]_changed=[Room5],0.300101
method=[infimum]_edge=[2-5]_changed=[Room5],-1.0
method=[infimum]_edge=[3-4]_changed=[Room5],0.298854
method=[infimum]_edge=[4-5]_changed=[Room5],-1.0
method=[infimum]_edge=[4-7]_changed=[Room5],0.298169
method=[infimum]_edge=[5-8]_changed=[Room5],-1.0
method=[infimum]_edge=[7-8]_changed=[Room5],0.301248
method=[infimum]_edge=[0-1]_changed=[Room6],0.300976
method=[infimum]_edge=[0-3]_changed=[Room6],0.299524
method=[infimum]_edge=[1-2]_changed=[Room6],0.30072
method=[infimum]_edge=[2-5]_changed=[Room6],0.296587
method=[infimum]_edge=[3-4]_changed=[Room6],0.299772
method=[infimum]_edge=[4-5]_changed=[Room6],0.298943
method=[infimum]_edge=[4-7]_changed=[Room6],0.29855
method=[infimum]_edge=[5-8]_changed=[Room6],0.301799
method=[infimum]_edge=[7-8]_changed=[Room6],0.305295
method=[infimum]_edge=[0-1]_changed=[Room7],0.304659
method=[infimum]_edge=[0-3]_changed=[Room7],0.30894
method=[infimum]_edge=[1-2]_changed=[Room7],0.29947
method=[infimum]_edge=[2-5]_changed=[Room7],0.30019
method=[infimum]_edge=[3-4]_changed=[Room7],0.297214
method=[infimum]_edge=[4-5]_changed=[Room7],0.300184
method=[infimum]_edge=[4-7]_changed=[Room7],-1.0
method=[infimum]_edge=[5-8]_changed=[Room7],0.307719
method=[infimum]_edge=[7-8]_changed=[Room7],-1.0
