,time [s]
method=[binary_search]_edge=[0-1]_changed=[Room1],-1.0
method=[binary_search]_edge=[0-3]_changed=[Room1],147.72026
method=[binary_search]_edge=[1-2]_changed=[Room1],-1.0
method=[binary_search]_edge=[2-5]_changed=[Room1],83.93994
method=[binary_search]_edge=[3-4]_changed=[Room1],104.07602
method=[binary_search]_edge=[4-5]_changed=[Room1],153.42873
method=[binary_search]_edge=[4-7]_changed=[Room1],98.02588
method=[binary_search]_edge=[5-8]_changed=[Room1],376.26797
method=[binary_search]_edge=[7-8]_changed=[Room1],358.85834
method=[binary_search]_edge=[0-1]_changed=[Room2],234.91788
method=[binary_search]_edge=[0-3]_changed=[Room2],80.485596
method=[binary_search]_edge=[1-2]_changed=[Room2],-1.0
method=[binary_search]_edge=[2-5]_changed=[Room2],-1.0
method=[binary_search]_edge=[3-4]_changed=[Room2],331.35345
method=[binary_search]_edge=[4-5]_changed=[Room2],155.79295
method=[binary_search]_edge=[4-7]_changed=[Room2],80.78256
method=[binary_search]_edge=[5-8]_changed=[Room2],497.40903
method=[binary_search]_edge=[7-8]_changed=[Room2],369.38034
method=[binary_search]_edge=[0-1]_changed=[Room3],39.002846
method=[binary_search]_edge=[0-3]_changed=[Room3],-1.0
method=[binary_search]_edge=[1-2]_changed=[Room3],36.83251
method=[binary_search]_edge=[2-5]_changed=[Room3],85.298546
method=[binary_search]_edge=[3-4]_changed=[Room3],-1.0
method=[binary_search]_edge=[4-5]_changed=[Room3],564.3551
method=[binary_search]_edge=[4-7]_changed=[Room3],34.672283
method=[binary_search]_edge=[5-8]_changed=[Room3],214.18907
method=[binary_search]_edge=[7-8]_changed=[Room3],131.43822
method=[binary_search]_edge=[0-1]_changed=[Room4],70.9351
method=[binary_search]_edge=[0-3]_changed=[Room4],33.29278
method=[binary_search]_edge=[1-2]_changed=[Room4],85.07898
method=[binary_search]_edge=[2-5]_changed=[Room4],104.68607
method=[binary_search]_edge=[3-4]_changed=[Room4],-1.0
method=[binary_search]_edge=[4-5]_changed=[Room4],-1.0
method=[binary_search]_edge=[4-7]_changed=[Room4],-1.0
method=[binary_search]_edge=[5-8]_changed=[Room4],178.49841
method=[binary_search]_edge=[7-8]_changed=[Room4],81.92038
method=[binary_search]_edge=[0-1]_changed=[Room5],65.33527
method=[binary_search]_edge=[0-3]_changed=[Room5],33.636955
method=[binary_search]_edge=[1-2]_changed=[Room5],84.42652
method=[binary_search]_edge=[2-5]_changed=[Room5],-1.0
method=[binary_search]_edge=[3-4]_changed=[Room5],576.40234
method=[binary_search]_edge=[4-5]_changed=[Room5],-1.0
method=[binary_search]_edge=[4-7]_changed=[Room5],169.17311
method=[binary_search]_edge=[5-8]_changed=[Room5],-1.0
method=[binary_search]_edge=[7-8]_changed=[Room5],66.880486
method=[binary_search]_edge=[0-1]_changed=[Room6],66.41304
method=[binary_search]_edge=[0-3]_changed=[Room6],109.07387
method=[binary_search]_edge=[1-2]_changed=[Room6],140.931
method=[binary_search]_edge=[2-5]_changed=[Room6],85.534454
method=[binary_search]_edge=[3-4]_changed=[Room6],80.27123
method=[binary_search]_edge=[4-5]_changed=[Room6],142.27641
method=[binary_search]_edge=[4-7]_changed=[Room6],33.477753
method=[binary_search]_edge=[5-8]_changed=[Room6],466.03424
method=[binary_search]_edge=[7-8]_changed=[Room6],376.47415
method=[binary_search]_edge=[0-1]_changed=[Room7],100.00888
method=[binary_search]_edge=[0-3]_changed=[Room7],35.196735
method=[binary_search]_edge=[1-2]_changed=[Room7],89.50079
method=[binary_search]_edge=[2-5]_changed=[Room7],100.84418
method=[binary_search]_edge=[3-4]_changed=[Room7],168.07158
method=[binary_search]_edge=[4-5]_changed=[Room7],83.75331
method=[binary_search]_edge=[4-7]_changed=[Room7],-1.0
method=[binary_search]_edge=[5-8]_changed=[Room7],87.00532
method=[binary_search]_edge=[7-8]_changed=[Room7],-1.0
