,time [s]
method=[informed_check]_edge=[0-1]_changed=[Room1],-1.0
method=[informed_check]_edge=[0-3]_changed=[Room1],14.567004
method=[informed_check]_edge=[1-2]_changed=[Room1],-1.0
method=[informed_check]_edge=[2-5]_changed=[Room1],12.987035
method=[informed_check]_edge=[3-4]_changed=[Room1],11.324927
method=[informed_check]_edge=[4-5]_changed=[Room1],13.533736
method=[informed_check]_edge=[4-7]_changed=[Room1],11.858941
method=[informed_check]_edge=[5-8]_changed=[Room1],14.535032
method=[informed_check]_edge=[7-8]_changed=[Room1],13.825552
method=[informed_check]_edge=[0-1]_changed=[Room2],12.161295
method=[informed_check]_edge=[0-3]_changed=[Room2],6.417504
method=[informed_check]_edge=[1-2]_changed=[Room2],-1.0
method=[informed_check]_edge=[2-5]_changed=[Room2],-1.0
method=[informed_check]_edge=[3-4]_changed=[Room2],6.802177
method=[informed_check]_edge=[4-5]_changed=[Room2],12.953427
method=[informed_check]_edge=[4-7]_changed=[Room2],6.954813
method=[informed_check]_edge=[5-8]_changed=[Room2],14.04041
method=[informed_check]_edge=[7-8]_changed=[Room2],9.086182
method=[informed_check]_edge=[0-1]_changed=[Room3],9.87851
method=[informed_check]_edge=[0-3]_changed=[Room3],-1.0
method=[informed_check]_edge=[1-2]_changed=[Room3],12.07001
method=[informed_check]_edge=[2-5]_changed=[Room3],9.163958
method=[informed_check]_edge=[3-4]_changed=[Room3],-1.0
method=[informed_check]_edge=[4-5]_changed=[Room3],12.330665
method=[informed_check]_edge=[4-7]_changed=[Room3],7.277042
method=[informed_check]_edge=[5-8]_changed=[Room3],9.097795
method=[informed_check]_edge=[7-8]_changed=[Room3],9.073217
method=[informed_check]_edge=[0-1]_changed=[Room4],7.213277
method=[informed_check]_edge=[0-3]_changed=[Room4],6.44189
method=[informed_check]_edge=[1-2]_changed=[Room4],7.113334
method=[informed_check]_edge=[2-5]_changed=[Room4],9.150759
method=[informed_check]_edge=[3-4]_changed=[Room4],-1.0
method=[informed_check]_edge=[4-5]_changed=[Room4],-1.0
method=[informed_check]_edge=[4-7]_changed=[Room4],-1.0
method=[informed_check]_edge=[5-8]_changed=[Room4],9.110347
method=[informed_check]_edge=[7-8]_changed=[Room4],9.123593
method=[informed_check]_edge=[0-1]_changed=[Room5],7.18144
method=[informed_check]_edge=[0-3]_changed=[Room5],6.420366
method=[informed_check]_edge=[1-2]_changed=[Room5],7.11544
method=[informed_check]_edge=[2-5]_changed=[Room5],-1.0
method=[informed_check]_edge=[3-4]_changed=[Room5],8.907703
method=[informed_check]_edge=[4-5]_changed=[Room5],-1.0
method=[informed_check]_edge=[4-7]_changed=[Room5],6.974759
method=[informed_check]_edge=[5-8]_changed=[Room5],-1.0
method=[informed_check]_edge=[7-8]_changed=[Room5],14.32621
method=[informed_check]_edge=[0-1]_changed=[Room6],7.268608
method=[informed_check]_edge=[0-3]_changed=[Room6],6.411119
method=[informed_check]_edge=[1-2]_changed=[Room6],7.555723
method=[informed_check]_edge=[2-5]_changed=[Room6],9.145628
method=[informed_check]_edge=[3-4]_changed=[Room6],6.647939
method=[informed_check]_edge=[4-5]_changed=[Room6],7.909376
method=[informed_check]_edge=[4-7]_changed=[Room6],6.968999
method=[informed_check]_edge=[5-8]_changed=[Room6],9.089441
method=[informed_check]_edge=[7-8]_changed=[Room6],14.621716
method=[informed_check]_edge=[0-1]_changed=[Room7],7.106591
method=[informed_check]_edge=[0-3]_changed=[Room7],6.430369
method=[informed_check]_edge=[1-2]_changed=[Room7],7.16073
method=[informed_check]_edge=[2-5]_changed=[Room7],9.185712
method=[informed_check]_edge=[3-4]_changed=[Room7],6.706831
method=[informed_check]_edge=[4-5]_changed=[Room7],8.458325
method=[informed_check]_edge=[4-7]_changed=[Room7],-1.0
method=[informed_check]_edge=[5-8]_changed=[Room7],13.483817
method=[informed_check]_edge=[7-8]_changed=[Room7],-1.0
