,info
method=[informed_check]_edge=[0-1]_changed=[Room1],0.0
method=[infimum_prep]_edge=[0-3]_changed=[Room1],0.875
method=[informed_check]_edge=[0-3]_changed=[Room1],0.875
method=[informed_check]_edge=[1-2]_changed=[Room1],0.0
method=[infimum_prep]_edge=[2-5]_changed=[Room1],0.84375
method=[informed_check]_edge=[2-5]_changed=[Room1],0.84375
method=[infimum_prep]_edge=[3-4]_changed=[Room1],0.90625
method=[informed_check]_edge=[3-4]_changed=[Room1],0.90625
method=[infimum_prep]_edge=[4-5]_changed=[Room1],0.78125
method=[informed_check]_edge=[4-5]_changed=[Room1],0.78125
method=[infimum_prep]_edge=[4-7]_changed=[Room1],0.78125
method=[informed_check]_edge=[4-7]_changed=[Room1],0.78125
method=[infimum_prep]_edge=[5-8]_changed=[Room1],0.59375
method=[informed_check]_edge=[5-8]_changed=[Room1],0.59375
method=[infimum_prep]_edge=[7-8]_changed=[Room1],0.75
method=[informed_check]_edge=[7-8]_changed=[Room1],0.75
method=[informed_check]_edge=[global]_changed=[Room1],0.46463
method=[infimum_prep]_edge=[0-1]_changed=[Room2],0.478037
method=[informed_check]_edge=[0-1]_changed=[Room2],0.478037
method=[infimum_prep]_edge=[0-3]_changed=[Room2],0.875
method=[informed_check]_edge=[0-3]_changed=[Room2],0.875
method=[informed_check]_edge=[1-2]_changed=[Room2],0.0
method=[informed_check]_edge=[2-5]_changed=[Room2],0.0
method=[infimum_prep]_edge=[3-4]_changed=[Room2],0.90625
method=[informed_check]_edge=[3-4]_changed=[Room2],0.90625
method=[infimum_prep]_edge=[4-5]_changed=[Room2],0.705082
method=[informed_check]_edge=[4-5]_changed=[Room2],0.705082
method=[infimum_prep]_edge=[4-7]_changed=[Room2],0.78125
method=[informed_check]_edge=[4-7]_changed=[Room2],0.78125
method=[infimum_prep]_edge=[5-8]_changed=[Room2],0.244174
method=[informed_check]_edge=[5-8]_changed=[Room2],0.244174
method=[infimum_prep]_edge=[7-8]_changed=[Room2],0.75
method=[informed_check]_edge=[7-8]_changed=[Room2],0.75
method=[informed_check]_edge=[global]_changed=[Room2],0.46463
method=[infimum_prep]_edge=[0-1]_changed=[Room3],0.90625
method=[informed_check]_edge=[0-1]_changed=[Room3],0.90625
method=[informed_check]_edge=[0-3]_changed=[Room3],0.0
method=[infimum_prep]_edge=[1-2]_changed=[Room3],0.875
method=[informed_check]_edge=[1-2]_changed=[Room3],0.875
method=[infimum_prep]_edge=[2-5]_changed=[Room3],0.84375
method=[informed_check]_edge=[2-5]_changed=[Room3],0.84375
method=[informed_check]_edge=[3-4]_changed=[Room3],0.0
method=[infimum_prep]_edge=[4-5]_changed=[Room3],0.603196
method=[informed_check]_edge=[4-5]_changed=[Room3],0.603196
method=[infimum_prep]_edge=[4-7]_changed=[Room3],0.78125
method=[informed_check]_edge=[4-7]_changed=[Room3],0.78125
method=[infimum_prep]_edge=[5-8]_changed=[Room3],0.59375
method=[informed_check]_edge=[5-8]_changed=[Room3],0.59375
method=[infimum_prep]_edge=[7-8]_changed=[Room3],0.75
method=[informed_check]_edge=[7-8]_changed=[Room3],0.75
method=[informed_check]_edge=[global]_changed=[Room3],0.397259
method=[infimum_prep]_edge=[0-1]_changed=[Room4],0.90625
method=[informed_check]_edge=[0-1]_changed=[Room4],0.90625
method=[infimum_prep]_edge=[0-3]_changed=[Room4],0.875
method=[informed_check]_edge=[0-3]_changed=[Room4],0.875
method=[infimum_prep]_edge=[1-2]_changed=[Room4],0.875
method=[informed_check]_edge=[1-2]_changed=[Room4],0.875
method=[infimum_prep]_edge=[2-5]_changed=[Room4],0.84375
method=[informed_check]_edge=[2-5]_changed=[Room4],0.84375
method=[informed_check]_edge=[3-4]_changed=[Room4],0.0
method=[informed_check]_edge=[4-5]_changed=[Room4],0.0
method=[informed_check]_edge=[4-7]_changed=[Room4],0.0
method=[infimum_prep]_edge=[5-8]_changed=[Room4],0.59375
method=[informed_check]_edge=[5-8]_changed=[Room4],0.59375
method=[infimum_prep]_edge=[7-8]_changed=[Room4],0.75
method=[informed_check]_edge=[7-8]_changed=[Room4],0.75
method=[informed_check]_edge=[global]_changed=[Room4],0.397259
method=[infimum_prep]_edge=[0-1]_changed=[Room5],0.90625
method=[informed_check]_edge=[0-1]_changed=[Room5],0.90625
method=[infimum_prep]_edge=[0-3]_changed=[Room5],0.875
method=[informed_check]_edge=[0-3]_changed=[Room5],0.875
method=[infimum_prep]_edge=[1-2]_changed=[Room5],0.875
method=[informed_check]_edge=[1-2]_changed=[Room5],0.875
method=[informed_check]_edge=[2-5]_changed=[Room5],0.0
method=[infimum_prep]_edge=[3-4]_changed=[Room5],0.656875
method=[informed_check]_edge=[3-4]_changed=[Room5],0.656875
method=[informed_check]_edge=[4-5]_changed=[Room5],0.0
method=[infimum_prep]_edge=[4-7]_changed=[Room5],0.78125
method=[informed_check]_edge=[4-7]_changed=[Room5],0.78125
method=[informed_check]_edge=[5-8]_changed=[Room5],0.0
method=[infimum_prep]_edge=[7-8]_changed=[Room5],0.518217
method=[informed_check]_edge=[7-8]_changed=[Room5],0.518217
method=[informed_check]_edge=[global]_changed=[Room5],0.232698
method=[infimum_prep]_edge=[0-1]_changed=[Room6],0.90625
method=[informed_check]_edge=[0-1]_changed=[Room6],0.90625
method=[infimum_prep]_edge=[0-3]_changed=[Room6],0.875
method=[informed_check]_edge=[0-3]_changed=[Room6],0.875
method=[infimum_prep]_edge=[1-2]_changed=[Room6],0.875
method=[informed_check]_edge=[1-2]_changed=[Room6],0.875
method=[infimum_prep]_edge=[2-5]_changed=[Room6],0.84375
method=[informed_check]_edge=[2-5]_changed=[Room6],0.84375
method=[infimum_prep]_edge=[3-4]_changed=[Room6],0.90625
method=[informed_check]_edge=[3-4]_changed=[Room6],0.90625
method=[infimum_prep]_edge=[4-5]_changed=[Room6],0.78125
