,time [s]
method=[binary_search]_edge=[0-1]_changed=[Room1],-1.0
method=[binary_search]_edge=[0-3]_changed=[Room1],45.123917
method=[binary_search]_edge=[1-2]_changed=[Room1],-1.0
method=[binary_search]_edge=[2-5]_changed=[Room1],131.22273
method=[binary_search]_edge=[3-4]_changed=[Room1],39.299065
method=[binary_search]_edge=[4-5]_changed=[Room1],574.7458
method=[binary_search]_edge=[4-7]_changed=[Room1],191.36728
method=[binary_search]_edge=[5-8]_changed=[Room1],133.27863
method=[binary_search]_edge=[7-8]_changed=[Room1],507.78656
method=[binary_search]_edge=[0-1]_changed=[Room2],222.85262
method=[binary_search]_edge=[0-3]_changed=[Room2],108.16781
method=[binary_search]_edge=[1-2]_changed=[Room2],-1.0
method=[binary_search]_edge=[2-5]_changed=[Room2],-1.0
method=[binary_search]_edge=[3-4]_changed=[Room2],37.94091
method=[binary_search]_edge=[4-5]_changed=[Room2],623.93494
method=[binary_search]_edge=[4-7]_changed=[Room2],90.56983
method=[binary_search]_edge=[5-8]_changed=[Room2],112.37489
method=[binary_search]_edge=[7-8]_changed=[Room2],36.507412
method=[binary_search]_edge=[0-1]_changed=[Room3],179.3394
method=[binary_search]_edge=[0-3]_changed=[Room3],-1.0
method=[binary_search]_edge=[1-2]_changed=[Room3],409.28378
method=[binary_search]_edge=[2-5]_changed=[Room3],148.36238
method=[binary_search]_edge=[3-4]_changed=[Room3],-1.0
method=[binary_search]_edge=[4-5]_changed=[Room3],156.05789
method=[binary_search]_edge=[4-7]_changed=[Room3],420.93643
method=[binary_search]_edge=[5-8]_changed=[Room3],115.701164
method=[binary_search]_edge=[7-8]_changed=[Room3],44.351227
method=[binary_search]_edge=[0-1]_changed=[Room4],148.41464
method=[binary_search]_edge=[0-3]_changed=[Room4],36.066803
method=[binary_search]_edge=[1-2]_changed=[Room4],179.19989
method=[binary_search]_edge=[2-5]_changed=[Room4],70.00763
method=[binary_search]_edge=[3-4]_changed=[Room4],-1.0
method=[binary_search]_edge=[4-5]_changed=[Room4],-1.0
method=[binary_search]_edge=[4-7]_changed=[Room4],-1.0
method=[binary_search]_edge=[5-8]_changed=[Room4],426.07788
method=[binary_search]_edge=[7-8]_changed=[Room4],135.536
method=[binary_search]_edge=[0-1]_changed=[Room5],110.97949
method=[binary_search]_edge=[0-3]_changed=[Room5],132.5085
method=[binary_search]_edge=[1-2]_changed=[Room5],128.62177
method=[binary_search]_edge=[2-5]_changed=[Room5],-1.0
method=[binary_search]_edge=[3-4]_changed=[Room5],113.568275
method=[binary_search]_edge=[4-5]_changed=[Room5],-1.0
method=[binary_search]_edge=[4-7]_changed=[Room5],35.49543
method=[binary_search]_edge=[5-8]_changed=[Room5],-1.0
method=[binary_search]_edge=[7-8]_changed=[Room5],161.75745
method=[binary_search]_edge=[0-1]_changed=[Room6],156.11618
method=[binary_search]_edge=[0-3]_changed=[Room6],106.87352
method=[binary_search]_edge=[1-2]_changed=[Room6],111.084366
method=[binary_search]_edge=[2-5]_changed=[Room6],89.492424
method=[binary_search]_edge=[3-4]_changed=[Room6],34.61487
method=[binary_search]_edge=[4-5]_changed=[Room6],426.58267
method=[binary_search]_edge=[4-7]_changed=[Room6],363.49783
method=[binary_search]_edge=[5-8]_changed=[Room6],370.976
method=[binary_search]_edge=[7-8]_changed=[Room6],148.08202
method=[binary_search]_edge=[0-1]_changed=[Room7],88.29313
method=[binary_search]_edge=[0-3]_changed=[Room7],149.35875
method=[binary_search]_edge=[1-2]_changed=[Room7],109.13567
method=[binary_search]_edge=[2-5]_changed=[Room7],75.37786
method=[binary_search]_edge=[3-4]_changed=[Room7],33.288666
method=[binary_search]_edge=[4-5]_changed=[Room7],198.16478
method=[binary_search]_edge=[4-7]_changed=[Room7],-1.0
method=[binary_search]_edge=[5-8]_changed=[Room7],152.59605
method=[binary_search]_edge=[7-8]_changed=[Room7],-1.0
