,time [s]
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room1],-1.0
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room1],774.2839
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room1],-1.0
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room1],830.95483
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room1],856.4373
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room1],910.08905
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room1],952.4146
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room1],968.31885
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room1],1033.927
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room2],739.48804
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room2],787.5441
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room2],-1.0
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room2],-1.0
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room2],742.3721
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room2],1025.4077
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room2],918.23035
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room2],1007.32477
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room2],1027.1746
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room3],768.6478
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room3],-1.0
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room3],926.0949
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room3],864.2241
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room3],-1.0
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room3],971.9691
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room3],998.36115
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room3],976.59534
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room3],1034.6443
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room4],768.0397
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room4],848.8558
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room4],954.3978
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room4],230.47762
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room4],-1.0
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room4],-1.0
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room4],-1.0
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room4],965.0585
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room4],1124.219
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room5],803.75867
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room5],978.7249
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room5],937.9803
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room5],-1.0
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room5],713.5031
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room5],-1.0
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room5],1087.2302
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room5],-1.0
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room5],1125.0653
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room6],844.4762
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room6],820.7486
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room6],1014.8682
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room6],985.1239
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room6],883.2713
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room6],976.54333
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room6],1009.931
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room6],1039.3927
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room6],1141.7664
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room7],759.68787
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room7],906.03357
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room7],990.3338
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room7],1046.7891
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room7],158.49146
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room7],1054.1141
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room7],-1.0
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room7],1113.7695
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room7],-1.0
