,info
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room1],0.0
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room1],0.710938
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room1],0.0
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room1],0.791016
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room1],0.791016
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room1],0.601562
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room1],0.515625
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room1],0.507812
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room1],0.351562
method=[binary_search_from_scratch]_edge=[global]_changed=[Room1],0.171791
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room2],0.765625
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room2],0.710938
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room2],0.0
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room2],0.0
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room2],0.791016
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room2],0.710938
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room2],0.515625
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room2],0.507812
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room2],0.117188
method=[binary_search_from_scratch]_edge=[global]_changed=[Room2],0.203026
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room3],0.820312
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room3],0.0
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room3],0.765625
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room3],0.685547
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room3],0.0
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room3],0.601562
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room3],0.515625
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room3],0.558594
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room3],0.195312
method=[binary_search_from_scratch]_edge=[global]_changed=[Room3],0.240508
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room4],0.820312
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room4],0.710938
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room4],0.820312
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room4],0.84375
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room4],0.0
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room4],0.0
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room4],0.0
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room4],0.710938
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room4],0.3125
method=[binary_search_from_scratch]_edge=[global]_changed=[Room4],0.403649
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room5],0.820312
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room5],0.765625
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room5],0.710938
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room5],0.0
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room5],0.791016
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room5],0.0
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room5],0.46875
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room5],0.0
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room5],0.15625
method=[binary_search_from_scratch]_edge=[global]_changed=[Room5],0.044357
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room6],0.820312
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room6],0.710938
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room6],0.820312
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room6],0.791016
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room6],0.791016
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room6],0.710938
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room6],0.515625
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room6],0.355469
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room6],0.195312
method=[binary_search_from_scratch]_edge=[global]_changed=[Room6],0.18921
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room7],0.820312
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room7],0.710938
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room7],0.765625
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room7],0.791016
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room7],0.84375
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room7],0.710938
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room7],0.0
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room7],0.761719
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room7],0.0
method=[binary_search_from_scratch]_edge=[global]_changed=[Room7],0.378421
