,time [s]
method=[informed_check]_edge=[0-1]_changed=[Room1],-1.0
method=[informed_check]_edge=[0-3]_changed=[Room1],15.228203
method=[informed_check]_edge=[1-2]_changed=[Room1],-1.0
method=[informed_check]_edge=[2-5]_changed=[Room1],12.243301
method=[informed_check]_edge=[3-4]_changed=[Room1],9.96812
method=[informed_check]_edge=[4-5]_changed=[Room1],11.193283
method=[informed_check]_edge=[4-7]_changed=[Room1],10.938788
method=[informed_check]_edge=[5-8]_changed=[Room1],12.823821
method=[informed_check]_edge=[7-8]_changed=[Room1],12.536718
method=[informed_check]_edge=[0-1]_changed=[Room2],11.421465
method=[informed_check]_edge=[0-3]_changed=[Room2],6.51939
method=[informed_check]_edge=[1-2]_changed=[Room2],-1.0
method=[informed_check]_edge=[2-5]_changed=[Room2],-1.0
method=[informed_check]_edge=[3-4]_changed=[Room2],6.492374
method=[informed_check]_edge=[4-5]_changed=[Room2],9.05609
method=[informed_check]_edge=[4-7]_changed=[Room2],6.925922
method=[informed_check]_edge=[5-8]_changed=[Room2],12.962187
method=[informed_check]_edge=[7-8]_changed=[Room2],7.917176
method=[informed_check]_edge=[0-1]_changed=[Room3],9.253016
method=[informed_check]_edge=[0-3]_changed=[Room3],-1.0
method=[informed_check]_edge=[1-2]_changed=[Room3],11.01865
method=[informed_check]_edge=[2-5]_changed=[Room3],7.112745
method=[informed_check]_edge=[3-4]_changed=[Room3],-1.0
method=[informed_check]_edge=[4-5]_changed=[Room3],10.834184
method=[informed_check]_edge=[4-7]_changed=[Room3],6.989685
method=[informed_check]_edge=[5-8]_changed=[Room3],7.622949
method=[informed_check]_edge=[7-8]_changed=[Room3],7.937996
method=[informed_check]_edge=[0-1]_changed=[Room4],6.891935
method=[informed_check]_edge=[0-3]_changed=[Room4],6.6137
method=[informed_check]_edge=[1-2]_changed=[Room4],6.425867
method=[informed_check]_edge=[2-5]_changed=[Room4],7.082887
method=[informed_check]_edge=[3-4]_changed=[Room4],-1.0
method=[informed_check]_edge=[4-5]_changed=[Room4],-1.0
method=[informed_check]_edge=[4-7]_changed=[Room4],-1.0
method=[informed_check]_edge=[5-8]_changed=[Room4],7.676087
method=[informed_check]_edge=[7-8]_changed=[Room4],8.295868
method=[informed_check]_edge=[0-1]_changed=[Room5],6.917421
method=[informed_check]_edge=[0-3]_changed=[Room5],6.543257
method=[informed_check]_edge=[1-2]_changed=[Room5],6.434227
method=[informed_check]_edge=[2-5]_changed=[Room5],-1.0
method=[informed_check]_edge=[3-4]_changed=[Room5],9.574685
method=[informed_check]_edge=[4-5]_changed=[Room5],-1.0
method=[informed_check]_edge=[4-7]_changed=[Room5],6.947933
method=[informed_check]_edge=[5-8]_changed=[Room5],-1.0
method=[informed_check]_edge=[7-8]_changed=[Room5],12.747543
method=[informed_check]_edge=[0-1]_changed=[Room6],6.901098
method=[informed_check]_edge=[0-3]_changed=[Room6],6.959983
method=[informed_check]_edge=[1-2]_changed=[Room6],6.432816
method=[informed_check]_edge=[2-5]_changed=[Room6],7.060401
method=[informed_check]_edge=[3-4]_changed=[Room6],6.498198
method=[informed_check]_edge=[4-5]_changed=[Room6],6.923193
method=[informed_check]_edge=[4-7]_changed=[Room6],6.963809
method=[informed_check]_edge=[5-8]_changed=[Room6],7.674601
method=[informed_check]_edge=[7-8]_changed=[Room6],14.276717
method=[informed_check]_edge=[0-1]_changed=[Room7],6.655035
method=[informed_check]_edge=[0-3]_changed=[Room7],6.56594
method=[informed_check]_edge=[1-2]_changed=[Room7],6.424201
method=[informed_check]_edge=[2-5]_changed=[Room7],7.096097
method=[informed_check]_edge=[3-4]_changed=[Room7],6.997615
method=[informed_check]_edge=[4-5]_changed=[Room7],6.951592
method=[informed_check]_edge=[4-7]_changed=[Room7],-1.0
method=[informed_check]_edge=[5-8]_changed=[Room7],12.438357
method=[informed_check]_edge=[7-8]_changed=[Room7],-1.0
