,time [s]
method=[binary_search]_edge=[0-1]_changed=[Room1],-1.0
method=[binary_search]_edge=[0-3]_changed=[Room1],125.20101
method=[binary_search]_edge=[1-2]_changed=[Room1],-1.0
method=[binary_search]_edge=[2-5]_changed=[Room1],36.21451
method=[binary_search]_edge=[3-4]_changed=[Room1],395.02853
method=[binary_search]_edge=[4-5]_changed=[Room1],118.3396
method=[binary_search]_edge=[4-7]_changed=[Room1],361.67548
method=[binary_search]_edge=[5-8]_changed=[Room1],160.74117
method=[binary_search]_edge=[7-8]_changed=[Room1],527.3991
method=[binary_search]_edge=[0-1]_changed=[Room2],558.00146
method=[binary_search]_edge=[0-3]_changed=[Room2],33.232224
method=[binary_search]_edge=[1-2]_changed=[Room2],-1.0
method=[binary_search]_edge=[2-5]_changed=[Room2],-1.0
method=[binary_search]_edge=[3-4]_changed=[Room2],144.01651
method=[binary_search]_edge=[4-5]_changed=[Room2],116.96475
method=[binary_search]_edge=[4-7]_changed=[Room2],332.9977
method=[binary_search]_edge=[5-8]_changed=[Room2],102.247665
method=[binary_search]_edge=[7-8]_changed=[Room2],616.1674
method=[binary_search]_edge=[0-1]_changed=[Room3],135.3909
method=[binary_search]_edge=[0-3]_changed=[Room3],-1.0
method=[binary_search]_edge=[1-2]_changed=[Room3],332.50262
method=[binary_search]_edge=[2-5]_changed=[Room3],32.32215
method=[binary_search]_edge=[3-4]_changed=[Room3],-1.0
method=[binary_search]_edge=[4-5]_changed=[Room3],154.87021
method=[binary_search]_edge=[4-7]_changed=[Room3],509.84015
method=[binary_search]_edge=[5-8]_changed=[Room3],73.60794
method=[binary_search]_edge=[7-8]_changed=[Room3],189.48148
method=[binary_search]_edge=[0-1]_changed=[Room4],82.50595
method=[binary_search]_edge=[0-3]_changed=[Room4],31.993135
method=[binary_search]_edge=[1-2]_changed=[Room4],171.49382
method=[binary_search]_edge=[2-5]_changed=[Room4],33.13603
method=[binary_search]_edge=[3-4]_changed=[Room4],-1.0
method=[binary_search]_edge=[4-5]_changed=[Room4],-1.0
method=[binary_search]_edge=[4-7]_changed=[Room4],-1.0
method=[binary_search]_edge=[5-8]_changed=[Room4],152.2169
method=[binary_search]_edge=[7-8]_changed=[Room4],536.89655
method=[binary_search]_edge=[0-1]_changed=[Room5],119.02469
method=[binary_search]_edge=[0-3]_changed=[Room5],136.90092
method=[binary_search]_edge=[1-2]_changed=[Room5],165.71596
method=[binary_search]_edge=[2-5]_changed=[Room5],-1.0
method=[binary_search]_edge=[3-4]_changed=[Room5],185.16478
method=[binary_search]_edge=[4-5]_changed=[Room5],-1.0
method=[binary_search]_edge=[4-7]_changed=[Room5],390.02966
method=[binary_search]_edge=[5-8]_changed=[Room5],-1.0
method=[binary_search]_edge=[7-8]_changed=[Room5],612.72894
method=[binary_search]_edge=[0-1]_changed=[Room6],81.154816
method=[binary_search]_edge=[0-3]_changed=[Room6],121.05455
method=[binary_search]_edge=[1-2]_changed=[Room6],152.3937
method=[binary_search]_edge=[2-5]_changed=[Room6],33.11445
method=[binary_search]_edge=[3-4]_changed=[Room6],403.44614
method=[binary_search]_edge=[4-5]_changed=[Room6],338.61807
method=[binary_search]_edge=[4-7]_changed=[Room6],342.90164
method=[binary_search]_edge=[5-8]_changed=[Room6],33.00387
method=[binary_search]_edge=[7-8]_changed=[Room6],470.2215
method=[binary_search]_edge=[0-1]_changed=[Room7],82.60712
method=[binary_search]_edge=[0-3]_changed=[Room7],160.06013
method=[binary_search]_edge=[1-2]_changed=[Room7],206.5558
method=[binary_search]_edge=[2-5]_changed=[Room7],34.192337
method=[binary_search]_edge=[3-4]_changed=[Room7],374.68704
method=[binary_search]_edge=[4-5]_changed=[Room7],385.09363
method=[binary_search]_edge=[4-7]_changed=[Room7],-1.0
method=[binary_search]_edge=[5-8]_changed=[Room7],442.04883
method=[binary_search]_edge=[7-8]_changed=[Room7],-1.0
