,time [s]
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room1],-1.0
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room1],882.1454
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room1],-1.0
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room1],929.966
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room1],933.92285
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room1],965.79865
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room1],1033.7229
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room1],1062.1802
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room1],1046.3314
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room2],856.86707
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room2],853.9386
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room2],-1.0
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room2],-1.0
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room2],906.5998
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room2],1094.4595
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room2],969.771
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room2],1001.8936
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room2],1055.9119
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room3],797.0223
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room3],-1.0
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room3],968.11316
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room3],901.4942
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room3],-1.0
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room3],1075.9677
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room3],983.30365
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room3],1045.9619
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room3],1045.739
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room4],832.96655
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room4],884.33527
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room4],1123.7526
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room4],950.55005
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room4],-1.0
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room4],-1.0
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room4],-1.0
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room4],237.88614
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room4],1079.0062
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room5],906.60004
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room5],925.0477
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room5],1000.2621
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room5],-1.0
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room5],973.28546
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room5],-1.0
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room5],906.22437
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room5],-1.0
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room5],1117.1431
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room6],870.3263
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room6],921.50006
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room6],1002.3174
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room6],1009.00214
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room6],1054.5106
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room6],1038.3569
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room6],1064.2812
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room6],1106.8883
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room6],1231.0996
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room7],822.6534
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room7],972.595
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room7],1057.4542
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room7],982.73004
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room7],1046.8162
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room7],1048.3947
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room7],-1.0
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room7],1204.0231
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room7],-1.0
