,info
method=[infimum]_edge=[0-1]_changed=[Room1],0.0
method=[infimum]_edge=[0-3]_changed=[Room1],0.875
method=[infimum]_edge=[1-2]_changed=[Room1],0.0
method=[infimum]_edge=[2-5]_changed=[Room1],0.84375
method=[infimum]_edge=[3-4]_changed=[Room1],0.90625
method=[infimum]_edge=[4-5]_changed=[Room1],0.78125
method=[infimum]_edge=[4-7]_changed=[Room1],0.78125
method=[infimum]_edge=[5-8]_changed=[Room1],0.59375
method=[infimum]_edge=[7-8]_changed=[Room1],0.75
method=[infimum]_edge=[global]_changed=[Room1],0.46463
method=[infimum]_edge=[0-1]_changed=[Room2],0.478779
method=[infimum]_edge=[0-3]_changed=[Room2],0.875
method=[infimum]_edge=[1-2]_changed=[Room2],0.0
method=[infimum]_edge=[2-5]_changed=[Room2],0.0
method=[infimum]_edge=[3-4]_changed=[Room2],0.90625
method=[infimum]_edge=[4-5]_changed=[Room2],0.704581
method=[infimum]_edge=[4-7]_changed=[Room2],0.78125
method=[infimum]_edge=[5-8]_changed=[Room2],0.243368
method=[infimum]_edge=[7-8]_changed=[Room2],0.75
method=[infimum]_edge=[global]_changed=[Room2],0.46463
method=[infimum]_edge=[0-1]_changed=[Room3],0.90625
method=[infimum]_edge=[0-3]_changed=[Room3],0.0
method=[infimum]_edge=[1-2]_changed=[Room3],0.875
method=[infimum]_edge=[2-5]_changed=[Room3],0.84375
method=[infimum]_edge=[3-4]_changed=[Room3],0.0
method=[infimum]_edge=[4-5]_changed=[Room3],0.602751
method=[infimum]_edge=[4-7]_changed=[Room3],0.78125
method=[infimum]_edge=[5-8]_changed=[Room3],0.59375
method=[infimum]_edge=[7-8]_changed=[Room3],0.75
method=[infimum]_edge=[global]_changed=[Room3],0.397259
method=[infimum]_edge=[0-1]_changed=[Room4],0.90625
method=[infimum]_edge=[0-3]_changed=[Room4],0.875
method=[infimum]_edge=[1-2]_changed=[Room4],0.875
method=[infimum]_edge=[2-5]_changed=[Room4],0.84375
method=[infimum]_edge=[3-4]_changed=[Room4],0.0
method=[infimum]_edge=[4-5]_changed=[Room4],0.0
method=[infimum]_edge=[4-7]_changed=[Room4],0.0
method=[infimum]_edge=[5-8]_changed=[Room4],0.59375
method=[infimum]_edge=[7-8]_changed=[Room4],0.75
method=[infimum]_edge=[global]_changed=[Room4],0.397259
method=[infimum]_edge=[0-1]_changed=[Room5],0.90625
method=[infimum]_edge=[0-3]_changed=[Room5],0.875
method=[infimum]_edge=[1-2]_changed=[Room5],0.875
method=[infimum]_edge=[2-5]_changed=[Room5],0.0
method=[infimum]_edge=[3-4]_changed=[Room5],0.657118
method=[infimum]_edge=[4-5]_changed=[Room5],0.0
method=[infimum]_edge=[4-7]_changed=[Room5],0.78125
method=[infimum]_edge=[5-8]_changed=[Room5],0.0
method=[infimum]_edge=[7-8]_changed=[Room5],0.518225
method=[infimum]_edge=[global]_changed=[Room5],0.232788
method=[infimum]_edge=[0-1]_changed=[Room6],0.90625
method=[infimum]_edge=[0-3]_changed=[Room6],0.875
method=[infimum]_edge=[1-2]_changed=[Room6],0.875
method=[infimum]_edge=[2-5]_changed=[Room6],0.84375
method=[infimum]_edge=[3-4]_changed=[Room6],0.90625
method=[infimum]_edge=[4-5]_changed=[Room6],0.78125
method=[infimum]_edge=[4-7]_changed=[Room6],0.78125
method=[infimum]_edge=[5-8]_changed=[Room6],0.59375
method=[infimum]_edge=[7-8]_changed=[Room6],0.339445
method=[infimum]_edge=[global]_changed=[Room6],0.397259
method=[infimum]_edge=[0-1]_changed=[Room7],0.90625
method=[infimum]_edge=[0-3]_changed=[Room7],0.875
method=[infimum]_edge=[1-2]_changed=[Room7],0.875
method=[infimum]_edge=[2-5]_changed=[Room7],0.84375
method=[infimum]_edge=[3-4]_changed=[Room7],0.90625
method=[infimum]_edge=[4-5]_changed=[Room7],0.78125
method=[infimum]_edge=[4-7]_changed=[Room7],0.0
method=[infimum]_edge=[5-8]_changed=[Room7],0.418814
method=[infimum]_edge=[7-8]_changed=[Room7],0.0
method=[infimum]_edge=[global]_changed=[Room7],0.280215
