,time [s]
method=[infimum]_edge=[0-1]_changed=[Room1],-1.0
method=[infimum]_edge=[0-3]_changed=[Room1],5.009362
method=[infimum]_edge=[1-2]_changed=[Room1],-1.0
method=[infimum]_edge=[2-5]_changed=[Room1],0.279599
method=[infimum]_edge=[3-4]_changed=[Room1],0.274881
method=[infimum]_edge=[4-5]_changed=[Room1],0.273106
method=[infimum]_edge=[4-7]_changed=[Room1],0.272839
method=[infimum]_edge=[5-8]_changed=[Room1],0.27354
method=[infimum]_edge=[7-8]_changed=[Room1],0.274349
method=[infimum]_edge=[0-1]_changed=[Room2],0.273909
method=[infimum]_edge=[0-3]_changed=[Room2],0.273901
method=[infimum]_edge=[1-2]_changed=[Room2],-1.0
method=[infimum]_edge=[2-5]_changed=[Room2],-1.0
method=[infimum]_edge=[3-4]_changed=[Room2],0.273819
method=[infimum]_edge=[4-5]_changed=[Room2],0.275096
method=[infimum]_edge=[4-7]_changed=[Room2],0.287143
method=[infimum]_edge=[5-8]_changed=[Room2],0.27411
method=[infimum]_edge=[7-8]_changed=[Room2],0.275939
method=[infimum]_edge=[0-1]_changed=[Room3],0.275128
method=[infimum]_edge=[0-3]_changed=[Room3],-1.0
method=[infimum]_edge=[1-2]_changed=[Room3],0.272774
method=[infimum]_edge=[2-5]_changed=[Room3],0.27289
method=[infimum]_edge=[3-4]_changed=[Room3],-1.0
method=[infimum]_edge=[4-5]_changed=[Room3],0.277244
method=[infimum]_edge=[4-7]_changed=[Room3],0.273716
method=[infimum]_edge=[5-8]_changed=[Room3],0.272966
method=[infimum]_edge=[7-8]_changed=[Room3],0.275069
method=[infimum]_edge=[0-1]_changed=[Room4],0.273782
method=[infimum]_edge=[0-3]_changed=[Room4],0.273727
method=[infimum]_edge=[1-2]_changed=[Room4],0.274488
method=[infimum]_edge=[2-5]_changed=[Room4],0.27416
method=[infimum]_edge=[3-4]_changed=[Room4],-1.0
method=[infimum]_edge=[4-5]_changed=[Room4],-1.0
method=[infimum]_edge=[4-7]_changed=[Room4],-1.0
method=[infimum]_edge=[5-8]_changed=[Room4],0.271771
method=[infimum]_edge=[7-8]_changed=[Room4],0.273168
method=[infimum]_edge=[0-1]_changed=[Room5],0.273157
method=[infimum]_edge=[0-3]_changed=[Room5],0.270806
method=[infimum]_edge=[1-2]_changed=[Room5],0.272796
method=[infimum]_edge=[2-5]_changed=[Room5],-1.0
method=[infimum]_edge=[3-4]_changed=[Room5],0.272147
method=[infimum]_edge=[4-5]_changed=[Room5],-1.0
method=[infimum]_edge=[4-7]_changed=[Room5],0.272178
method=[infimum]_edge=[5-8]_changed=[Room5],-1.0
method=[infimum]_edge=[7-8]_changed=[Room5],0.27439
method=[infimum]_edge=[0-1]_changed=[Room6],0.27349
method=[infimum]_edge=[0-3]_changed=[Room6],0.276643
method=[infimum]_edge=[1-2]_changed=[Room6],0.275869
method=[infimum]_edge=[2-5]_changed=[Room6],0.273219
method=[infimum]_edge=[3-4]_changed=[Room6],0.27257
method=[infimum]_edge=[4-5]_changed=[Room6],0.279222
method=[infimum]_edge=[4-7]_changed=[Room6],0.274702
method=[infimum]_edge=[5-8]_changed=[Room6],0.27391
method=[infimum]_edge=[7-8]_changed=[Room6],0.273226
method=[infimum]_edge=[0-1]_changed=[Room7],0.276063
method=[infimum]_edge=[0-3]_changed=[Room7],0.273321
method=[infimum]_edge=[1-2]_changed=[Room7],0.274209
method=[infimum]_edge=[2-5]_changed=[Room7],0.275701
method=[infimum]_edge=[3-4]_changed=[Room7],0.274842
method=[infimum]_edge=[4-5]_changed=[Room7],0.2734
method=[infimum]_edge=[4-7]_changed=[Room7],-1.0
method=[infimum]_edge=[5-8]_changed=[Room7],0.274955
method=[infimum]_edge=[7-8]_changed=[Room7],-1.0
